bailable,energia,volumen,hablado,acustico,instrumental,directo,valencia,popularidad,clave,modo,tempo,genero
0.699,0.503,-9.922,0.0882,0.391,0.0126,0.0996,0.0546,73,5,0,114.86,0
0.804,0.641,-6.2,0.261,0.0313,0.0,0.148,0.576,64,10,0,154.967,0
0.656,0.566,-9.501,0.339,0.0125,0.0,0.0655,0.563,60,0,1,137.215,0
0.756,0.747,-5.407,0.046,0.0048,0.00536,0.588,0.0687,71,9,1,134.935,0
0.816,0.582,-4.141,0.341,0.0794,5.84e-06,0.0916,0.542,86,8,1,160.004,0
0.848,0.699,-5.425,0.157,0.0401,0.0,0.148,0.535,63,5,0,150.024,0
0.831,0.499,-8.442,0.114,0.269,0.0,0.3,0.511,83,11,0,97.956,0
0.907,0.765,-7.043,0.426,0.0512,0.0,0.153,0.896,81,4,1,142.992,0
0.732,0.627,-5.693,0.161,0.346,0.0,0.261,0.332,80,4,0,81.481,0
0.79,0.88,-1.983,0.376,0.324,0.0,0.0829,0.857,77,7,1,175.013,0
0.762,0.372,-11.26,0.174,0.165,0.0,0.139,0.315,70,10,0,79.037,0
0.744,0.709,-5.359,0.101,0.275,0.0,0.126,0.72,52,0,1,89.969,0
0.849,0.62,-5.921,0.0589,0.00252,0.000283,0.113,0.481,73,4,0,96.005,0
0.75,0.789,-4.578,0.108,0.253,0.0,0.129,0.673,83,2,1,147.957,0
0.846,0.472,-9.833,0.0402,0.031,0.752,0.0941,0.533,54,6,0,132.043,0
0.764,0.438,-8.76,0.0614,0.241,0.912,0.106,0.951,53,10,0,173.968,0
0.733,0.244,-10.458,0.0636,0.538,0.345,0.58,0.346,33,11,1,90.53,0
0.525,0.729,-5.085,0.328,0.339,0.000494,0.538,0.842,56,6,0,81.634,0
0.808,0.245,-11.114,0.0519,0.177,0.609,0.706,0.583,56,2,1,87.213,0
0.61,0.341,-11.056,0.0499,0.179,0.807,0.113,0.69,44,7,1,146.005,0
0.687,0.188,-12.43,0.0681,0.687,0.663,0.0931,0.908,43,4,1,168.051,0
0.73,0.219,-15.187,0.0515,0.0814,0.858,0.106,0.287,41,5,0,91.007,0
0.614,0.382,-11.951,0.0366,0.485,0.962,0.101,0.568,31,9,0,83.114,0
0.74,0.123,-10.878,0.0734,0.00163,0.808,0.0827,0.205,31,8,0,90.988,0
0.784,0.196,-9.913,0.536,0.879,0.826,0.115,0.641,43,9,0,180.052,0
0.78,0.336,-13.902,0.173,0.714,0.448,0.128,0.94,35,7,0,140.118,0
0.473,0.318,-13.997,0.0341,0.679,0.865,0.0844,0.113,60,8,1,89.992,0
0.778,0.657,-5.02,0.037,0.172,0.616,0.126,0.555,47,7,1,82.988,0
0.611,0.702,-6.944,0.0366,0.145,0.176,0.424,0.734,15,0,1,89.999,0
0.693,0.918,-8.307,0.088,0.323,0.558,0.392,0.757,59,7,1,176.15,0
0.721,0.769,-8.095,0.165,0.134,0.651,0.166,0.832,50,6,0,78.99,0
0.683,0.839,-9.979,0.129,0.0526,0.842,0.951,0.631,48,10,0,93.915,0
0.52,0.403,-13.17,0.274,0.212,0.000528,0.139,0.233,56,4,0,169.471,0
0.661,0.47,-5.195,0.0917,0.163,0.329,0.192,0.339,59,7,1,84.024,0
0.75,0.338,-9.036,0.0497,0.119,0.835,0.146,0.684,56,4,1,142.069,0
0.665,0.502,-8.868,0.0339,0.0138,0.882,0.158,0.286,41,6,0,86.971,0
0.685,0.807,-7.691,0.17,0.354,0.0109,0.137,0.56,44,3,0,85.007,0
0.717,0.472,-11.145,0.0467,0.787,0.441,0.29,0.786,40,9,0,79.982,0
0.728,0.415,-10.938,0.0565,0.951,0.954,0.103,0.349,49,10,0,84.082,0
0.602,0.437,-10.426,0.0281,2.22e-06,0.804,0.351,0.298,52,1,1,90.039,0
0.449,0.325,-8.762,0.0336,0.808,0.711,0.518,0.0575,54,5,0,82.788,0
0.77,0.67,-10.602,0.0762,0.139,0.867,0.101,0.304,61,11,0,99.96,0
0.804,0.372,-10.453,0.243,0.495,0.891,0.0944,0.591,53,11,0,166.115,0
0.702,0.439,-15.213,0.039,0.0123,0.0813,0.0702,0.651,49,1,1,140.032,0
0.565,0.673,-6.503,0.0377,0.481,0.415,0.103,0.0461,54,11,1,89.005,0
0.402,0.366,-12.369,0.0503,0.828,0.945,0.34,0.329,53,2,1,75.863,0
0.798,0.503,-7.103,0.0541,0.587,0.927,0.114,0.537,57,5,1,82.099,0
0.56,0.364,-9.338,0.0959,0.377,0.874,0.0869,0.408,57,9,0,68.457,0
0.547,0.376,-9.531,0.0412,0.813,0.868,0.155,0.466,57,5,0,140.674,0
0.683,0.754,-6.466,0.0576,0.43,0.591,0.0932,0.646,53,10,1,83.016,0
0.554,0.418,-12.004,0.298,0.475,0.689,0.11,0.171,57,0,1,84.001,0
0.526,0.505,-9.201,0.112,0.729,0.546,0.106,0.17,52,1,1,76.868,0
0.914,0.465,-14.578,0.0626,0.0828,0.727,0.0988,0.442,52,5,0,112.143,0
0.764,0.38,-14.212,0.369,0.753,0.884,0.119,0.634,52,11,1,172.112,0
0.828,0.412,-14.672,0.128,0.0844,0.894,0.126,0.19,56,8,0,110.054,0
0.769,0.658,-9.37,0.0906,0.201,0.614,0.086,0.686,51,11,1,77.547,0
0.716,0.236,-10.73,0.0579,0.741,0.923,0.145,0.541,52,11,0,79.983,0
0.59,0.427,-10.999,0.186,0.476,0.00059,0.352,0.343,52,4,0,118.925,0
0.468,0.519,-6.48,0.0843,0.81,0.928,0.279,0.187,52,0,1,87.692,0
0.659,0.486,-7.645,0.0486,0.134,0.9,0.154,0.234,54,11,0,172.095,0
0.613,0.317,-10.621,0.101,0.747,0.783,0.133,0.553,17,1,1,79.98,0
0.795,0.414,-10.718,0.0867,0.813,0.889,0.373,0.657,50,4,0,138.013,0
0.755,0.453,-7.334,0.156,0.41,0.00467,0.206,0.236,51,6,1,86.06,0
0.66,0.317,-9.809,0.0686,0.651,0.925,0.118,0.291,51,8,1,166.093,0
0.527,0.161,-12.223,0.0727,0.845,0.839,0.0973,0.291,58,4,0,162.117,0
0.752,0.461,-9.808,0.0841,0.311,0.904,0.116,0.506,53,7,0,160.152,0
0.565,0.427,-12.27,0.0454,0.745,0.224,0.0989,0.49,53,10,0,139.813,0
0.549,0.328,-8.047,0.259,0.563,0.419,0.127,0.384,52,1,1,136.344,0
0.652,0.42,-11.728,0.034,0.0243,0.66,0.0953,0.366,56,9,0,93.984,0
0.646,0.538,-8.997,0.0639,0.817,0.884,0.0811,0.24,54,5,1,90.022,0
0.532,0.942,-5.425,0.0965,0.166,0.182,0.218,0.599,53,8,0,179.825,0
0.647,0.435,-8.933,0.0422,0.0884,0.944,0.233,0.72,53,0,0,90.02,0
0.692,0.448,-13.417,0.0286,0.772,0.87,0.347,0.533,12,0,1,102.013,0
0.833,0.336,-9.683,0.0973,0.827,0.888,0.125,0.61,52,5,1,38.985,0
0.72,0.332,-14.059,0.144,0.19,0.307,0.113,0.651,52,7,1,84.035,0
0.675,0.472,-10.885,0.0577,0.656,0.88,0.0838,0.615,50,1,1,170.009,0
0.64,0.553,-10.941,0.0304,0.0616,0.946,0.115,0.485,50,6,0,129.98,0
0.64,0.427,-6.515,0.0972,0.0862,0.56,0.219,0.796,50,5,0,86.134,0
0.78,0.214,-9.443,0.161,0.818,0.697,0.126,0.624,50,5,0,86.111,0
0.682,0.147,-15.461,0.311,0.283,0.0192,0.133,0.296,54,1,0,85.038,0
0.715,0.489,-9.569,0.0454,0.619,0.888,0.153,0.937,49,7,0,144.043,0
0.746,0.197,-11.177,0.0548,0.792,0.802,0.0893,0.668,49,2,1,76.989,0
0.471,0.342,-12.588,0.371,0.822,0.602,0.224,0.406,57,11,0,174.746,0
0.526,0.136,-18.452,0.0767,0.112,0.891,0.111,0.395,52,8,1,174.006,0
0.754,0.299,-16.236,0.052,0.579,0.9,0.0475,0.897,50,9,0,143.862,0
0.775,0.0674,-13.869,0.273,0.478,0.925,0.113,0.784,42,7,1,88.969,0
0.702,0.277,-11.708,0.0466,0.835,0.879,0.121,0.065,63,7,1,87.0,0
0.644,0.388,-9.828,0.0572,0.413,0.851,0.0899,0.353,50,8,0,83.031,0
0.804,0.224,-13.084,0.425,0.788,0.925,0.103,0.904,50,1,0,174.154,0
0.663,0.665,-5.582,0.0364,0.0412,0.892,0.0975,0.778,50,1,1,89.003,0
0.726,0.334,-12.843,0.186,0.61,0.887,0.364,0.676,50,10,0,82.066,0
0.8,0.434,-9.729,0.131,0.156,0.66,0.544,0.736,50,5,0,86.143,0
0.782,0.44,-9.892,0.0564,0.797,0.793,0.401,0.0995,50,9,0,94.002,0
0.492,0.314,-14.961,0.281,0.947,0.647,0.208,0.196,50,7,1,83.852,0
0.747,0.0986,-17.918,0.11,0.321,0.735,0.104,0.711,50,5,0,144.95,0
0.753,0.443,-9.697,0.448,0.948,0.67,0.313,0.73,50,8,1,83.047,0
0.793,0.653,-8.52,0.191,0.396,0.851,0.0881,0.476,51,8,1,160.05,0
0.679,0.427,-11.273,0.0753,0.621,0.564,0.102,0.301,58,2,0,168.103,0
0.743,0.452,-5.638,0.131,0.487,0.872,0.111,0.395,52,2,1,80.049,0
0.779,0.288,-11.875,0.0551,0.816,0.903,0.108,0.164,61,0,1,134.992,0
0.638,0.231,-12.597,0.0624,0.984,0.935,0.0925,0.229,52,7,1,59.975,0
0.267,0.321,-12.369,0.0269,0.883,0.94,0.0871,0.0394,53,6,1,77.204,0
0.729,0.337,-15.436,0.06,0.441,0.821,0.122,0.792,54,7,1,162.011,0
0.732,0.321,-12.575,0.0768,0.934,0.876,0.111,0.347,51,1,0,144.018,0
0.573,0.177,-18.774,0.347,0.922,0.6,0.108,0.312,11,3,0,130.187,0
0.517,0.3,-13.716,0.0435,0.693,0.664,0.0664,0.174,52,10,1,122.996,0
0.337,0.19,-17.009,0.161,0.929,0.852,0.193,0.0674,51,1,1,79.744,0
0.365,0.457,-7.192,0.032,0.202,0.891,0.158,0.0845,55,5,1,121.994,0
0.588,0.166,-20.73,0.0408,0.887,0.925,0.111,0.475,11,3,1,57.497,0
0.5,0.16,-14.655,0.0899,0.968,0.41,0.31,0.284,55,10,1,75.3,0
0.525,0.176,-22.959,0.0935,0.921,0.755,0.0743,0.317,56,0,1,80.389,0
0.546,0.191,-21.84,0.0373,0.916,0.922,0.091,0.131,50,0,1,138.143,0
0.66,0.434,-9.572,0.0472,0.833,0.915,0.386,0.323,49,7,0,80.163,0
0.533,0.246,-16.585,0.0466,0.907,0.894,0.112,0.0886,13,9,1,87.016,0
0.496,0.101,-22.118,0.292,0.65,0.684,0.105,0.62,58,6,1,59.551,0
0.661,0.375,-10.463,0.249,0.923,0.00981,0.104,0.103,50,11,1,131.636,0
0.533,0.37,-12.646,0.0583,0.8,0.945,0.103,0.326,51,7,1,204.637,0
0.595,0.285,-14.36,0.0371,0.973,0.946,0.146,0.305,57,11,0,130.021,0
0.211,0.262,-11.892,0.0356,0.932,0.972,0.207,0.112,33,4,0,78.263,0
0.812,0.225,-12.284,0.334,0.687,0.615,0.078,0.672,59,5,0,83.985,0
0.417,0.645,-10.228,0.138,0.931,0.766,0.103,0.202,50,7,1,76.815,0
0.708,0.372,-12.721,0.114,0.903,0.974,0.115,0.517,11,1,1,71.789,0
0.734,0.221,-16.403,0.318,0.69,0.918,0.11,0.21,11,5,0,125.785,0
0.72,0.169,-21.217,0.0569,0.854,0.941,0.118,0.577,50,11,0,119.956,0
0.729,0.266,-20.841,0.0995,0.947,0.955,0.131,0.34,49,0,0,144.948,0
0.629,0.277,-14.958,0.0783,0.628,0.94,0.0851,0.0398,49,2,0,131.03,0
0.621,0.157,-15.226,0.1,0.525,0.82,0.11,0.124,65,11,1,74.992,0
0.557,0.246,-11.289,0.0368,0.486,0.904,0.111,0.27,62,8,1,174.063,0
0.662,0.28,-18.651,0.0726,0.696,0.881,0.0955,0.132,56,7,1,120.018,0
0.484,0.254,-7.54,0.274,0.658,0.909,0.121,0.705,53,11,1,148.463,0
0.602,0.228,-17.87,0.0982,0.677,0.918,0.331,0.568,48,4,1,73.975,0
0.644,0.179,-11.329,0.0462,0.731,0.912,0.0993,0.19,57,4,1,80.999,0
0.505,0.0671,-22.562,0.0705,0.938,0.913,0.131,0.258,52,6,0,72.796,0
0.635,0.304,-13.306,0.0405,0.961,0.893,0.103,0.0425,48,4,1,140.004,0
0.636,0.148,-13.895,0.0815,0.247,0.748,0.111,0.565,50,8,1,80.96,0
0.772,0.0383,-16.941,0.485,0.685,0.731,0.112,0.961,49,10,0,89.058,0
0.711,0.387,-14.536,0.231,0.937,0.842,0.116,0.598,49,10,0,79.027,0
0.72,0.192,-15.78,0.038,0.927,0.96,0.082,0.631,57,7,0,145.911,0
0.612,0.183,-15.316,0.113,0.788,0.599,0.108,0.519,50,6,0,69.987,0
0.76,0.19,-21.736,0.393,0.963,0.738,0.112,0.666,48,5,0,113.012,0
0.638,0.0389,-17.75,0.115,0.897,0.849,0.0731,0.48,32,1,1,79.888,0
