bailable,energia,valencia,popularidad,tempo,genero
0.718,0.93,0.277,60,121.956,0
0.65,0.833,0.725,69,123.976,0
0.449,0.856,0.152,62,112.648,0
0.679,0.923,0.752,58,121.984,0
0.744,0.726,0.687,67,121.985,0
0.572,0.915,0.678,68,123.919,0
0.694,0.901,0.368,60,118.051,0
0.467,0.821,0.232,35,122.676,0
0.708,0.913,0.707,64,135.016,0
0.684,0.818,0.336,62,123.938,0
0.62,0.889,0.422,58,110.018,0
0.675,0.76,0.468,63,124.933,0
0.625,0.938,0.371,62,127.997,0
0.679,0.909,0.819,30,119.885,0
0.641,0.869,0.358,56,128.091,0
0.702,0.814,0.503,56,121.993,0
0.723,0.837,0.643,58,123.952,0
0.742,0.864,0.727,60,125.032,0
0.716,0.815,0.351,60,124.975,0
0.748,0.831,0.894,55,128.024,0
0.816,0.833,0.793,59,122.032,0
0.633,0.854,0.659,63,126.026,0
0.563,0.81,0.495,67,129.975,0
0.728,0.815,0.681,55,124.019,0
0.678,0.928,0.663,62,116.892,0
0.755,0.931,0.288,55,122.041,0
0.622,0.859,0.442,61,121.968,0
0.789,0.893,0.41,56,121.956,0
0.64,0.838,0.587,57,124.081,0
0.609,0.764,0.531,56,128.082,0
0.64,0.992,0.479,53,123.951,0
0.535,0.956,0.12,34,127.984,0
0.588,0.697,0.225,63,125.157,0
0.542,0.84,0.509,52,118.02,0
0.748,0.903,0.751,60,115.018,0
0.607,0.955,0.501,45,125.984,0
0.607,0.995,0.664,58,124.998,0
0.679,0.786,0.47,51,126.092,0
0.714,0.801,0.292,58,124.015,0
0.69,0.862,0.453,56,121.975,0
0.775,0.867,0.565,60,128.956,0
0.814,0.838,0.959,48,121.978,0
0.784,0.779,0.459,56,124.994,0
0.609,0.83,0.604,65,117.833,0
0.564,0.747,0.717,71,97.878,0
0.72,0.864,0.659,71,96.048,0
0.789,0.858,0.491,65,110.012,0
0.46,0.8,0.553,81,102.46,0
0.686,0.83,0.486,75,123.032,0
0.661,0.725,0.605,74,119.927,0
0.404,0.806,0.112,75,148.036,0
0.672,0.815,0.341,37,115.033,0
0.581,0.76,0.523,70,104.099,0
0.734,0.693,0.55,72,110.021,0
0.663,0.696,0.449,64,139.98,0
0.699,0.633,0.458,64,123.449,0
0.767,0.605,0.657,53,107.042,0
0.434,0.917,0.622,39,121.967,0
0.837,0.818,0.484,60,109.993,0
0.514,0.856,0.351,18,117.014,0
0.647,0.624,0.477,47,115.002,0
0.551,0.651,0.562,66,144.875,0
0.658,0.677,0.248,69,124.91,0
0.702,0.781,0.382,57,102.997,0
0.708,0.727,0.512,57,120.012,0
0.762,0.736,0.248,57,126.007,0
0.577,0.844,0.283,58,115.066,0
0.63,0.731,0.46,42,119.997,0
0.791,0.541,0.433,48,115.987,0
0.904,0.633,0.492,53,121.995,0
0.772,0.687,0.59,46,118.116,0
0.781,0.745,0.498,56,110.051,0
0.789,0.547,0.48,42,120.024,0
0.669,0.797,0.552,74,119.865,0
0.567,0.946,0.295,65,104.983,0
