bailable,energia,valencia,acustico,instrumental,popularidad,tempo,genero
0.718,0.93,0.277,0.0287,9.43e-06,60,121.956,0
0.65,0.833,0.725,0.0803,0.0,69,123.976,0
0.449,0.856,0.152,0.187,0.0,62,112.648,0
0.679,0.923,0.752,0.146,4.92e-06,58,121.984,0
0.744,0.726,0.687,0.0399,0.0,67,121.985,0
0.572,0.915,0.678,0.0111,0.0,68,123.919,0
0.694,0.901,0.368,0.0702,0.0,60,118.051,0
0.467,0.821,0.232,0.00791,0.000441,35,122.676,0
0.708,0.913,0.707,0.089,0.081,64,135.016,0
0.684,0.818,0.336,0.0469,3.39e-06,62,123.938,0
0.62,0.889,0.422,0.0163,1.86e-05,58,110.018,0
0.675,0.76,0.468,0.104,0.0,63,124.933,0
0.625,0.938,0.371,0.00432,0.00026,62,127.997,0
0.679,0.909,0.819,0.0334,0.0,30,119.885,0
0.641,0.869,0.358,0.0319,0.00131,56,128.091,0
0.702,0.814,0.503,0.107,3.03e-05,56,121.993,0
0.723,0.837,0.643,0.0103,0.000477,58,123.952,0
0.742,0.864,0.727,0.00141,0.00467,60,125.032,0
0.716,0.815,0.351,0.108,0.0,60,124.975,0
0.748,0.831,0.894,0.0823,7.36e-05,55,128.024,0
0.816,0.833,0.793,0.126,9.09e-06,59,122.032,0
0.633,0.854,0.659,0.0382,2.83e-05,63,126.026,0
0.563,0.81,0.495,0.00522,0.0,67,129.975,0
0.728,0.815,0.681,0.00223,0.000317,55,124.019,0
0.678,0.928,0.663,0.0303,3.33e-05,62,116.892,0
0.755,0.931,0.288,0.132,0.0271,55,122.041,0
0.622,0.859,0.442,0.000609,0.746,61,121.968,0
0.789,0.893,0.41,0.0538,0.0,56,121.956,0
0.64,0.838,0.587,0.0588,1.99e-05,57,124.081,0
0.609,0.764,0.531,0.0994,0.0,56,128.082,0
0.64,0.992,0.479,0.0832,0.0083,53,123.951,0
0.535,0.956,0.12,0.000609,0.0109,34,127.984,0
0.588,0.697,0.225,0.186,0.000219,63,125.157,0
0.542,0.84,0.509,0.0336,8.45e-05,52,118.02,0
0.748,0.903,0.751,0.0324,0.0,60,115.018,0
0.607,0.955,0.501,0.0163,0.121,45,125.984,0
0.607,0.995,0.664,0.0921,0.002,58,124.998,0
0.679,0.786,0.47,0.119,5.89e-06,51,126.092,0
0.714,0.801,0.292,0.0204,0.00615,58,124.015,0
0.69,0.862,0.453,0.0611,1.85e-05,56,121.975,0
0.775,0.867,0.565,0.0158,0.0117,60,128.956,0
0.814,0.838,0.959,0.001,0.0223,48,121.978,0
0.784,0.779,0.459,0.0357,0.025,56,124.994,0
0.609,0.83,0.604,0.201,6.18e-05,65,117.833,0
0.564,0.747,0.717,0.0728,0.0,71,97.878,0
0.72,0.864,0.659,0.0856,0.0,71,96.048,0
0.789,0.858,0.491,0.22,4.58e-05,65,110.012,0
0.46,0.8,0.553,0.289,6.16e-06,81,102.46,0
0.686,0.83,0.486,0.0948,1.33e-06,75,123.032,0
0.661,0.725,0.605,0.0253,0.0,74,119.927,0
0.404,0.806,0.112,0.198,0.0,75,148.036,0
0.672,0.815,0.341,0.00246,0.0,37,115.033,0
0.581,0.76,0.523,0.16,0.0,70,104.099,0
0.734,0.693,0.55,0.0878,0.0,72,110.021,0
0.663,0.696,0.449,0.0563,6.25e-06,64,139.98,0
0.699,0.633,0.458,0.0453,0.0,64,123.449,0
0.767,0.605,0.657,0.559,0.000363,53,107.042,0
0.434,0.917,0.622,0.301,1.8e-05,39,121.967,0
0.837,0.818,0.484,0.0527,0.00642,60,109.993,0
0.514,0.856,0.351,0.00123,6.34e-06,18,117.014,0
0.647,0.624,0.477,0.025,0.056,47,115.002,0
0.551,0.651,0.562,0.225,0.0,66,144.875,0
0.658,0.677,0.248,0.248,0.0,69,124.91,0
